method,dc_mode,tau,std,inference_valid,baseline_min,negative_fraction,negative_mass,rank,stable_rank,solver,rep,n_rows,n_cols,margin,noise,tau_true,tau_error,pattern,outcome_mode,method_non_neg,std_available,max_negative_magnitude,projected_design_min_eigenvalue,projected_design_condition_number,residual_frobenius_norm,tau_raw,tau_shift
nonnegative_svd,non-convex,0.14750897809591945,,False,0.0,0.0,0.0,6,1.5928697535554106,DebiasConvex,1,12,12,0.05,0.05,0.2,-0.05249102190408056,block,intermittent,svd,False,-0.0,3.0097552034369732,1.0,5.776325749363043,,
nonnegative_nnmf,non-convex,0.1443570658462855,,False,0.0,0.0,0.0,2,1.590042182976153,DebiasConvex,1,12,12,0.05,0.05,0.2,-0.05564293415371452,block,intermittent,nnmf,False,-0.0,8.088140392387533,1.0,5.827198313361723,,
final_clip,non-convex,0.16721391585690848,,False,0.0,0.0,0.0,6,1.6001676943180887,DebiasConvex,1,12,12,0.05,0.05,0.2,-0.03278608414309153,block,intermittent,,,,,,,0.17515294009182122,-0.007939024234912745
raw,non-convex,0.4060440038055959,0.17943489931626547,True,-0.1593863783138061,0.006944444444444444,0.1593863783138061,2,1.0690094764135725,DebiasConvex,0,12,12,0.05,0.05,0.2,0.2060440038055959,sparse,dense,,,,,,,,
nonnegative_svd,non-convex,0.4060439846602366,,False,0.0,0.0,0.0,3,1.0685483536958813,DebiasConvex,0,12,12,0.05,0.05,0.2,0.2060439846602366,sparse,dense,svd,False,-0.0,11.251621214484736,1.0,7.322630746856257,,
nonnegative_nnmf,non-convex,0.41266100831206376,,False,0.0,0.0,0.0,2,1.068236459148729,DebiasConvex,0,12,12,0.05,0.05,0.2,0.21266100831206375,sparse,dense,nnmf,False,-0.0,13.62795989730635,1.0,7.328373181252444,,
final_clip,non-convex,0.40604400380559597,,False,0.0,0.0,0.0,3,1.068548353903726,DebiasConvex,0,12,12,0.05,0.05,0.2,0.20604400380559595,sparse,dense,,,,,,,0.4060440038055959,5.551115123125783e-17
raw,non-convex,0.4067190070330332,0.14596849735857312,True,0.07786983453312946,0.0,0.0,2,1.0279794651739733,DebiasConvex,1,12,12,0.05,0.05,0.2,0.2067190070330332,sparse,dense,,,,,,,,
nonnegative_svd,non-convex,0.4067190070330332,,False,0.07786983453312946,0.0,0.0,2,1.0279794651739735,DebiasConvex,1,12,12,0.05,0.05,0.2,0.2067190070330332,sparse,dense,svd,False,-0.0,14.64373168588365,1.0,6.264260331388255,,
nonnegative_nnmf,non-convex,0.40675200743102025,,False,0.08179485167470446,0.0,0.0,2,1.0279681866745147,DebiasConvex,1,12,12,0.05,0.05,0.2,0.20675200743102023,sparse,dense,nnmf,False,-0.0,14.64381155495277,1.0,6.264262287346928,,
final_clip,non-convex,0.4067190070330332,,False,0.07786983453312946,0.0,0.0,2,1.0279794651739733,DebiasConvex,1,12,12,0.05,0.05,0.2,0.2067190070330332,sparse,dense,,,,,,,0.4067190070330332,0.0
raw,non-convex,0.2336832019844486,0.1304795100371009,True,-1.2406810302443603,0.18055555555555555,9.668130596814242,2,1.4904775596713646,DebiasConvex,0,12,12,0.05,0.05,0.2,0.0336832019844486,sparse,intermittent,,,,,,,,
nonnegative_svd,non-convex,0.14408152582628608,,False,0.0,0.0,0.0,8,1.317987946597006,DebiasConvex,0,12,12,0.05,0.05,0.2,-0.05591847417371393,sparse,intermittent,svd,False,-0.0,2.8434530197617223,1.0,5.731638358140365,,
nonnegative_nnmf,non-convex,0.07810187935272837,,False,0.0,0.0,0.0,2,1.3719246070596998,DebiasConvex,0,12,12,0.05,0.05,0.2,-0.12189812064727164,sparse,intermittent,nnmf,False,-0.0,10.570741469457776,1.0,6.593989711818481,,
final_clip,non-convex,0.17649957222863155,,False,0.0,0.0,0.0,8,1.315138000346853,DebiasConvex,0,12,12,0.05,0.05,0.2,-0.02350042777136846,sparse,intermittent,,,,,,,0.2336832019844486,-0.05718362975581706
raw,non-convex,0.26056194510301617,0.07574776886282937,True,-0.33277417671566223,0.20833333333333334,2.7169588923370753,2,1.6822464339742722,DebiasConvex,1,12,12,0.05,0.05,0.2,0.06056194510301616,sparse,intermittent,,,,,,,,
nonnegative_svd,non-convex,0.23445757051487254,,False,0.0,0.0,0.0,9,1.6099655368831536,DebiasConvex,1,12,12,0.05,0.05,0.2,0.034457570514872526,sparse,intermittent,svd,False,-0.0,52533681428932.02,1.0,5.077286683064301,,
nonnegative_nnmf,non-convex,0.2149387388663507,,False,0.0,0.0,0.0,2,1.6060647017104566,DebiasConvex,1,12,12,0.05,0.05,0.2,0.014938738866350693,sparse,intermittent,nnmf,False,-0.0,16.96926545038768,1.0,5.152673305440704,,
final_clip,non-convex,0.24093550916060572,,False,0.0,0.0,0.0,9,1.6094273958641077,DebiasConvex,1,12,12,0.05,0.05,0.2,0.040935509160605704,sparse,intermittent,,,,,,,0.26056194510301617,-0.019626435942410453
raw,non-convex,0.29216915632898943,0.22954591479402567,True,0.004232309487163022,0.0,0.0,2,1.0619407096833855,DebiasConvex,0,12,12,0.05,0.05,0.2,0.09216915632898942,row,dense,,,,,,,,
nonnegative_svd,non-convex,0.2921691691846236,,False,0.004232306953322329,0.0,0.0,2,1.061940709801158,DebiasConvex,0,12,12,0.05,0.05,0.2,0.09216916918462359,row,dense,svd,False,-0.0,8.243140923816192,1.0,8.714571432236367,,
nonnegative_nnmf,non-convex,0.29185043344609124,,False,0.0059943352920794404,0.0,0.0,2,1.0619271729937414,DebiasConvex,0,12,12,0.05,0.05,0.2,0.09185043344609123,row,dense,nnmf,False,-0.0,8.242774660007528,1.0,8.714572199606403,,
final_clip,non-convex,0.2921691563289895,,False,0.004232309487163022,0.0,0.0,2,1.0619407096833855,DebiasConvex,0,12,12,0.05,0.05,0.2,0.09216915632898948,row,dense,,,,,,,0.29216915632898943,5.551115123125783e-17
raw,non-convex,0.4197553760095498,0.2497806544690772,True,0.6902165508755256,0.0,0.0,2,1.0767218991784528,DebiasConvex,1,12,12,0.05,0.05,0.2,0.2197553760095498,row,dense,,,,,,,,
nonnegative_svd,non-convex,0.4197555080459333,,False,0.6902165673638727,0.0,0.0,2,1.0767218998331172,DebiasConvex,1,12,12,0.05,0.05,0.2,0.2197555080459333,row,dense,svd,False,-0.0,8.12879243545144,1.0,8.925638493559207,,
nonnegative_nnmf,non-convex,0.4196240797616515,,False,0.6892532756469123,0.0,0.0,2,1.0767192970825612,DebiasConvex,1,12,12,0.05,0.05,0.2,0.2196240797616515,row,dense,nnmf,False,-0.0,8.1278150148286,1.0,8.925638830720107,,
final_clip,non-convex,0.4197553760095498,,False,0.6902165508755256,0.0,0.0,2,1.0767218991784528,DebiasConvex,1,12,12,0.05,0.05,0.2,0.2197553760095498,row,dense,,,,,,,0.4197553760095498,0.0
raw,non-convex,0.30678334589571854,0.12727383434063125,True,-0.1413452354062279,0.09722222222222222,0.742118098060938,2,1.6603912929130034,DebiasConvex,0,12,12,0.05,0.05,0.2,0.10678334589571853,row,intermittent,,,,,,,,
